COMPOUND_ID,SMILES,pIC50,source,MW,LogP,HBD,HBA,TPSA,RotBonds
MMV665800,CCOc1cc(Cl)c(C(C)NC(=O)c2ccccc2)cc1OCC,5.86,MMV,347.13,4.63,1,3,47.56,7
MMV000634,CC1CCCCN1CCCNC(=O)c1ccc2c(c1)sc1nc(-c3ccc(F)cc3)cn12,6.19,MMV,450.19,5.35,1,5,49.64,6
MMV666103,CCn1c(SCC(=O)Nc2cc(C(F)(F)F)ccc2Cl)nc2ccccc2c1=O,6.0,MMV,441.05,4.82,1,5,63.99,5
MMV666057,O=C(Nc1ccc(Cl)cc1C(=O)Nc1ccncc1)c1ccc(Cl)cc1Cl,,MMV,419.0,5.55,2,3,71.09,4
MMV007564,Cc1ccc(Cn2c(N3CCC(C(=O)NCc4cccs4)CC3)nc3ccccc32)cc1,6.02,MMV,444.2,4.99,1,5,50.16,6
MMV001255,CCCCc1ccc(NS(=O)(=O)c2cc3c4c(c2)CCN4C(=O)CC3)cc1,6.27,MMV,384.15,3.67,1,3,66.48,6
MMV665917,O=C(Nc1ccc(Cl)cc1)N1CCN(c2ccc3nncn3n2)CC1,,MMV,357.11,2.13,1,6,78.66,2
MMV000563,COc1ccc(C2Sc3ccccc3N=C3C2=C(O)c2ccccc23)cc1,6.07,MMV,371.1,5.95,1,4,41.82,2
MMV665850,Oc1ccc(Cl)cc1CNc1nc2ccccc2[nH]1,,MMV,273.07,3.53,3,3,60.94,3
MMV665817,CC(C)(C)CC(C)(C)NCC(O)COc1ccc2c(c1)CCC2,,MMV,319.25,3.72,2,3,41.49,7
MMV665979,FC(F)(F)c1cccc(CNC2CCN(CCc3ccccc3)CC2)c1,6.16,MMV,362.2,4.5,1,2,15.27,6
MMV665928,CCC(C)NCC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,6.19,MMV,337.1,4.62,2,2,32.26,6
MMV666105,COCCN(C(=O)Cc1cccs1)C(C(=O)NCc1ccc(OC)cc1)c1ccc(C(C)C)cc1,5.92,MMV,494.22,4.96,1,5,67.87,12
MMV666072,COCCNC(=O)c1ccc(OC2CCN(Cc3ccc(F)c(F)c3)CC2)c(Cl)c1,,MMV,438.15,4.04,1,4,50.8,8
MMV000653,CCOc1ccccc1CNC(=O)C1c2ccccc2C(=O)N(CC(C)C)C1c1cccs1,5.88,MMV,462.2,5.4,1,4,58.64,8
MMV000620,CC(O)(c1ccc(Cl)cc1)C(CN1CCCCC1)c1ccccc1,,MMV,343.17,4.82,1,2,23.47,5
MMV665909,O=C(Nc1nc(-c2ccccn2)cs1)c1ccccc1Br,5.87,MMV,358.97,4.22,1,4,54.88,3
MMV665940,CCOc1ccc(C=Cc2nc(=O)c3ccccc3o2)cc1,6.25,MMV,293.11,3.76,0,4,52.33,4
MMV665891,c1ccc(-c2ccc(-c3nc4ccccc4[nH]3)cc2)cc1,5.97,MMV,270.12,4.9,1,1,28.68,2
MMV665899,O=C(c1ccccc1F)N(Cc1ccc(Cl)cc1)c1ccccn1,,MMV,340.08,4.72,0,2,33.2,4
MMV665961,CCN(CC)CCCNc1nc(-c2ccc(Cl)cc2)nc2ccccc12,,MMV,368.18,5.09,1,4,41.05,8
MMV665929,CCCCNCC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,6.07,MMV,337.1,4.62,2,2,32.26,7
MMV666108,O=C(CCc1ccco1)NC1CCN(CC2(c3ccc(Cl)cc3)CCC2)CC1,5.94,MMV,400.19,4.57,1,3,45.48,7
MMV665948,O=C(Nc1ccccc1O)c1ccc(-c2ccc(Cl)cc2Cl)o1,,MMV,347.01,5.21,2,3,62.47,3
MMV006188,O=C(NCc1ccco1)C1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,6.05,MMV,382.08,2.65,1,4,79.62,5
MMV001230,CCOc1cccc2sc(N(Cc3cccnc3)C(=O)C3CCCCC3)nc12,,MMV,395.17,5.2,0,5,55.32,6
MMV665918,O=C(CSc1ccc2nnc(-c3cccc(F)c3)n2n1)Nc1ccc2c(c1)OCO2,,MMV,423.08,3.39,1,8,90.64,5
MMV665799,COc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccncc2)cc1,,MMV,381.09,4.25,2,4,80.32,5
MMV665826,COc1cccc(NC(=O)Cn2c(C)c(C#N)c3ccccc32)c1,5.96,MMV,319.13,3.47,1,4,67.05,4
MMV665807,O=C(Nc1cccc(C(F)(F)F)c1)c1cc(Cl)ccc1O,,MMV,315.03,4.32,2,2,49.33,2
MMV665946,CC(C)=CCN1CCC(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)CC1,5.94,MMV,388.23,4.85,2,3,61.02,5
MMV665935,FC(F)(F)c1ccc(Nc2nnnc3ccccc23)cc1,,MMV,290.08,3.79,1,4,50.7,2
MMV666102,CN(C)c1ccc(-c2nc3cc(N)ccc3[nH]2)cc1,,MMV,252.14,2.88,2,3,57.94,2
MMV666061,COc1cccc(O)c1CN1CCC2(CCCN(Cc3ccc(F)cc3)C2)C1,6.28,MMV,384.22,4.03,1,4,35.94,5
MMV008149,Cc1c(C)n(Cc2ccc(F)cc2)c2ccc(C(=O)NCc3ccco3)cc12,,MMV,376.16,4.97,1,3,47.17,5
MMV019074,CCN1CCN(c2cc(C)c3cc(NC(=O)c4ccc(OC)c(OC)c4)ccc3n2)CC1,5.73,MMV,434.23,3.95,1,6,66.93,6
MMV665914,COc1ccccc1N1CCN(C(CNS(=O)(=O)c2ccc(Cl)cc2)c2cccnc2)CC1,,MMV,486.15,3.59,1,6,74.77,8
MMV665798,FC(F)(F)c1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,,MMV,366.11,5.45,1,4,50.7,3
MMV665902,N=c1n(CCN2CCCCC2)c2ccccc2n1CC(O)c1cccc(Br)c1,6.05,MMV,442.14,3.9,2,5,57.18,6
MMV665888,O=C(Nc1ccccc1O)c1ccc(Oc2cccc(C(=O)Nc3ccccc3O)c2)cc1,,MMV,440.14,5.39,4,5,107.89,6
MMV666067,COc1ccc(CNC2CCN(c3ccc(NC(=O)c4cccc(Cl)c4)cc3)CC2)cc1OC,6.18,MMV,479.2,5.37,2,5,62.83,8
MMV665939,O=C(Nc1ccsc1C(=O)NC1CCCCC1)c1ccc(F)cc1,,MMV,346.12,4.2,2,3,58.2,4
MMV009060,CCN(CC)c1ccc(NC(=O)c2cccs2)cc1,,MMV,274.11,3.85,1,3,32.34,5
MMV666110,C=C(C)CCC(C)N1CCC(N2CCC(C(=O)NCCc3ccccc3)CC2)CC1,5.76,MMV,411.32,4.27,1,3,35.58,9
MMV019758,COc1ccc(C(=O)Nc2ccc3nc(N4CCCCC4)cc(C)c3c2)cc1OC,,MMV,405.21,4.8,1,5,63.69,5
MMV000498,CCN(CC)c1cc(C)c2cc(NC(=O)c3cccc(OC)c3)ccc2n1,,MMV,363.19,4.65,1,4,54.46,6
MMV665913,CCOc1ccc(-c2nc(NC(=O)c3cccc(S(C)(=O)=O)c3)sc2C)cc1,,MMV,416.09,4.17,1,6,85.36,6
MMV665789,CC(NCc1ccccc1)c1cc(Cl)ccc1O,6.22,MMV,261.09,3.9,2,2,32.26,4
MMV665901,O=C(Nc1ccc(CN2CCOCC2)cc1)c1ccc(-c2ccc(Br)cc2)o1,5.87,MMV,440.07,4.79,1,4,54.71,5
MMV666069,COc1ccc(CCN2CCC(CN(C)Cc3cnn(-c4ccccc4)c3)CC2)cc1,5.84,MMV,418.27,4.27,0,5,33.53,9
MMV666080,O=C(NC(c1ccccc1)c1ccc2cccnc2c1O)c1ccccc1,5.93,MMV,354.14,4.46,2,3,62.22,4
MMV666081,CCCc1c(C)nc2ccccc2c1O,,MMV,201.12,3.2,1,2,33.12,2
MMV666009,CN1c2ccccc2N(C)C1c1ccc2c(c1)OCO2,6.0,MMV,268.12,3.0,0,4,24.94,1
MMV019313,Cn1c(=O)c2cc(C(=O)NCCCN3CCCCCC3)sc2c2ccccc21,6.17,MMV,397.18,3.75,1,5,54.34,5
MMV019746,Cc1ccc(Cl)cc1N1CCN(CCCNC(=O)C2CCN(c3nc4ccccc4[nH]3)CC2)CC1,5.88,MMV,494.26,4.07,2,5,67.5,7
MMV019064,COc1cccc(-c2nn(C)c3sc(C(=O)NCCN4CCN(c5ccccc5F)CC4)cc23)c1,5.89,MMV,493.19,4.0,1,7,62.63,7
MMV011944,COc1cccc(Nc2nc(NCCO)c3ccccc3n2)c1,6.07,MMV,310.14,2.79,3,6,79.3,6
MMV665803,CCOc1cc(Cl)c(C(C)NC(=O)c2cccc(OC)c2)cc1OCC,6.14,MMV,377.14,4.64,1,4,56.79,8
MMV665857,CCOc1c(Cl)cc(CNC(C)C(O)c2ccccc2)cc1OC,,MMV,349.14,3.96,2,4,50.72,8
MMV666071,Cc1ccc(CN2CCC(C(=O)Nc3ccc(-c4cc5ccccc5[nH]4)cc3)CC2)o1,,MMV,413.21,5.59,2,3,61.27,5
MMV019780,Cc1cc(C)c2nc(N3CCC(C(=O)NCCCN4CCC(N5CCCCC5)CC4)CC3)sc2c1,6.16,MMV,497.32,4.59,1,6,51.71,7
MMV666093,CCCC(c1nnnn1C1CCCCC1)N1CCN(C(=O)c2ccco2)CC1,,MMV,386.24,3.07,0,7,80.29,6
MMV665953,O=C(Nc1ccc(F)c(Cl)c1)Nc1ccc(Cl)c(Cl)c1,5.69,MMV,331.97,5.43,2,1,41.13,2
MMV000648,COc1ccccc1CNC(=O)C1c2ccccc2C(=O)N(CC(C)C)C1c1cccs1,,MMV,448.18,5.01,1,4,58.64,7
MMV019662,COc1ccc(N2CCN(C(CNC(=O)C3CCCCC3)c3ccc4c(c3)OCO4)CC2)cc1,5.95,MMV,465.26,3.98,1,6,63.27,7
MMV007571,Cc1ccc(CSCc2ccc(C(=O)NC3CC3)o2)cc1,6.2,MMV,301.11,3.91,1,3,42.24,6
MMV007617,CC(=O)NCCc1nc2ccccc2n1Cc1ccc(C(C)C)cc1,5.75,MMV,335.2,3.89,1,3,46.92,6
MMV665796,CCOc1cc(Br)c(C(C)NC(=O)c2cccc(OC)c2)cc1OCC,5.84,MMV,421.09,4.75,1,4,56.79,8
MMV665906,Cc1ccc(-c2cc(C(=O)Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)[nH]n2)c(O)c1,6.27,MMV,440.15,3.52,3,5,115.39,5
MMV665954,O=C(NCC1Cc2cccc(-c3ccncc3)c2O1)c1csc2c1CCCC2,5.76,MMV,390.14,4.42,1,4,51.22,4
MMV019738,Cc1[nH]c(-c2ccc(F)cc2)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,6.11,MMV,391.21,4.52,2,2,48.13,5
MMV666075,COc1ccc(C2N(C)c3ccccc3N2C)cc1,,MMV,254.14,3.28,0,3,15.71,2
MMV666070,O=C(NC1CCCC1)c1ccc(N2CCC(NCc3cccc(C(F)(F)F)c3)CC2)cc1,,MMV,445.23,5.14,2,3,44.37,6
MMV142383,CC(C)(C)c1ccc(C(=O)Nc2nc3ccccc3s2)cc1,,MMV,310.11,4.85,1,3,41.99,2
MMV000788,CC(C)OCc1cc(CN2CCN(c3cccc(Cl)c3)CC2)c(O)c2ncccc12,6.16,MMV,425.19,4.84,1,5,48.83,6
MMV000561,CCCN(CCC)CCCNC(=O)c1cc2c(-c3ccc(OC)c(OC)c3)nn(C)c2s1,5.84,MMV,458.24,4.56,1,7,68.62,12
MMV000248,CCN(CC)CCn1c(=N)n(CC(O)c2ccc(Cl)c(Cl)c2)c2ccccc21,6.14,MMV,420.15,4.3,2,5,57.18,8
MMV665879,CC(C)(C)C(=O)Nc1ccc(C(=O)Nc2cccc(-c3nc4ccccc4[nH]3)c2)cc1,,MMV,412.19,5.47,3,3,86.88,4
MMV665890,COc1ccc(-c2nonc2NC(=O)c2cccc(C)c2)cc1OC,,MMV,339.12,3.31,1,6,86.48,5
MMV666116,Oc1ccccc1CN1CCC2(CCCN(Cc3ccccc3F)C2)C1,6.26,MMV,354.21,4.02,1,3,26.71,4
MMV006913,C=CCc1c(C)nc2ccccc2c1O,5.89,MMV,199.1,2.98,1,2,33.12,2
MMV008127,CN1CCN(c2c3c(c(C#N)c4nc5ccccc5n24)CCC3)CC1,5.4,MMV,331.18,2.6,0,5,47.57,1
MMV403679,Cc1cccc(-n2ncc3c(=O)[nH]c(-n4nc(C)cc4NC(=O)c4cc5ccccc5o4)nc32)c1,6.03,MMV,465.15,3.91,2,8,123.63,4
MMV006545,CCN(CC)CCNc1ncnc2c1[nH]c1ccc(Br)cc12,6.15,MMV,361.09,3.63,2,4,56.84,6
MMV019700,O=C(Nc1ccc(N2CCCCC2)c(Cl)c1)c1ccc(Br)o1,6.13,MMV,382.01,4.94,1,3,45.48,3
MMV019670,O=C(Nc1ccc(N2CCN(Cc3ccccc3)CC2)cc1)c1cccs1,5.97,MMV,377.16,4.32,1,4,35.58,5
MMV001344,CC1CC(C)CN(C(=O)c2ccc(Cl)cc2Cl)C1,6.12,MMV,285.07,4.11,0,1,20.31,1
MMV011795,Oc1ccccc1CN1CCN(C(c2ccccc2)c2ccccc2)CC1,6.21,MMV,358.2,4.3,1,3,26.71,5
MMV019124,COc1cc(OC)cc(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)c1,5.96,MMV,373.14,4.5,2,4,76.24,5
MMV006767,COc1cc2cc(C(=O)Nc3ccccc3)c(N)nc2cc1OC,6.03,MMV,323.13,3.09,2,5,86.47,4
MMV007808,COc1nc(Nc2ccc(C(C)C)cc2)nc(OC)n1,5.94,MMV,274.14,2.76,1,6,69.16,5
MMV019017,COCCNCC(O)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21,6.0,MMV,366.09,3.7,2,4,46.42,7
MMV396681,Cc1cc(NC(=O)c2cccc(C(F)(F)F)c2)n(-c2nc(-c3ccc4c(c3)OCO4)cs2)n1,6.02,MMV,472.08,5.3,1,7,78.27,4
MMV006587,Clc1ccc2[nH]c3c(NCCCN4CCOCC4)ncnc3c2c1,6.15,MMV,345.14,2.9,2,5,66.07,5
MMV019202,CCOc1cccc(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)c1,,MMV,357.15,4.88,2,3,67.01,5
MMV000848,OC(CNC1CCCC1)Cn1c2ccccc2c2ccccc21,6.18,MMV,308.19,3.69,2,3,37.19,5
MMV020275,O=C(NC1CCN(Cc2ccccc2)CC1)c1cc(-c2ccncc2)nc2ccc(Cl)cc12,5.99,MMV,456.17,5.34,1,4,58.12,5
MMV019918,Clc1cc(Br)ccc1-c1ccc(CNCC2CCNCC2)o1,6.1,MMV,382.04,4.45,2,3,37.2,5
MMV075490,CCOc1ccc(C2N(C)c3ccccc3N2C)cc1,6.03,MMV,268.16,3.67,0,3,15.71,3
MMV396633,CCOc1cc(CNC(C)C(O)c2ccccc2)cc(Cl)c1OCC,5.91,MMV,363.16,4.35,2,4,50.72,9
MMV007374,CCc1ccc(Nc2cc(C)nc3nc(C)nn23)cc1,5.4,MMV,267.15,3.05,1,5,55.11,3
MMV396719,COc1cccc(C2(C)Nc3ccccc3-c3nc4ccccc4n32)c1,5.94,MMV,341.15,4.86,1,4,39.08,2
MMV396744,CC(C)CNC(=O)c1c(N)n(CCc2ccccc2F)c2nc3ccccc3nc12,6.08,MMV,405.2,3.93,2,5,85.83,6
