COMPOUND_ID,SMILES,pIC50,source,MW,LogP,HBD,HBA,TPSA,RotBonds
MMV007474,COc1cc2c3cc1Oc1c(OC)c(OC)cc4c1C(Cc1ccc(O)c(c1)Oc1ccc(cc1)CC3N(C)CC2)N(C)CC4,5.9,MMV,608.29,6.86,1,8,72.86,3
MMV006962,O=C(Nc1ccc(-c2nc3cc(NC(=O)c4ccc(Cl)cc4)ccc3[nH]2)cc1)c1ccc(Cl)cc1,,MMV,500.08,7.04,3,3,86.88,5
MMV665813,CCOC(=O)c1cnc2ccc(OC)cc2c1NCc1ccccc1,,MMV,336.15,4.03,1,5,60.45,6
MMV080034,Nc1nc(Nc2cccc(F)c2)nc2ccccc12,6.0,MMV,254.1,3.09,2,4,63.83,2
MMV019199,COc1cccc(Nc2nc(N)c3ccccc3n2)c1,5.4,MMV,266.12,2.96,2,5,73.06,3
MMV396652,Cc1sc(NC(=O)c2ccccc2)c(C(c2cccs2)N2CCN(c3ccccc3)CC2)c1C,5.93,MMV,487.18,6.59,1,5,35.58,6
MMV000704,CCOC(=O)c1cnc2ccc(OC)cc2c1Nc1ccc(N2CCN(C)CC2)cc1,5.96,MMV,420.22,3.92,1,7,66.93,6
MMV396635,O=C(NC1CCN(Cc2ccccc2)CC1)c1cc2nc(-c3ccc(Cl)s3)cc(C(F)(F)F)n2n1,6.02,MMV,519.11,5.52,1,6,62.53,5
MMV000986,CN1CCN(c2nc(Nc3ccc(O)cc3)nc3ccccc23)CC1,5.84,MMV,335.17,2.83,2,6,64.52,3
MMV008160,CN1C=C(c2ccc3ccccc3n2)C(c2c[nH]c3ccccc23)c2ccccc21,6.26,MMV,387.17,6.34,1,2,31.92,2
MMV000753,Oc1ccc(-c2nc(-c3ccc4oc5ccc(-c6[nH]c(-c7ccc(O)cc7)nc6-c6ccccc6)cc5c4c3)c(-c3ccccc3)[nH]2)cc1,6.49,MMV,636.22,10.45,4,5,110.96,6
MMV011436,CC(C)(C)c1ccc(C2CC3=Nc4ccccc4N(C(=O)c4ccccc4Cl)C(c4ccc(F)cc4)C3=C(O)C2)cc1,6.02,MMV,578.21,9.64,1,3,52.9,3
MMV665882,OC(CNC1CCCCC1)Cn1c2ccc(I)cc2c2cc(I)ccc21,6.33,MMV,574.0,5.29,2,3,37.19,5
