COMPOUND_ID,SMILES,pIC50,source,MW,LogP,HBD,HBA,TPSA,RotBonds
AfroDb.997,COC(=O)/C(=C\C[C@@H]1[C@@]2(CC[C@@H]3C(C)(C)CCC[C@@]31C)CO2)[C@@H]1CO1,,AfroDb,348.23,3.89,0,4,51.36,4
AfroDb.998,CCC(CC)CCC[C@H](C)[C@@H]1CC[C@@H]2[C@@H]3CC=C4C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]45C[C@]35CC[C@]21C,,AfroDb,574.42,5.75,4,6,99.38,10
AfroDb.999,O=C1c2cc3c(cc2C2=CCC=C4CCN1[C@H]42)OCO3,,AfroDb,267.09,2.36,0,3,38.77,0
AfroDb.1000,Cc1cc2c(cc1O)C(=O)N1CCC3=CCC=C2[C@@H]31,,AfroDb,253.11,2.64,1,2,40.54,0
AfroDb.1001,CC(C)=CCCc1cc(/C=C/C(=O)c2cc3c(cc2O)O[C@@H](C(C)(C)O)C3)ccc1O,,AfroDb,422.21,4.97,3,5,86.99,7
AfroDb.1003,C/C=C1/CN2CC[C@@]34c5ccccc5N5C(=O)C(C[C@]67c8ccccc8N8/C=C9\[C@H]([C@H](C)CC)C[C@@H]%10N(C)CC[C@@]%10%11c%10ccccc%10N(/C=C(/C%10=CCN[C@@H]6C%10)[C@@H]87)[C@@H]9%11)=C[C@H]([C@@H](C)[C@H]1[C@H]23)[C@@H]54,,AfroDb,860.51,8.99,1,6,45.3,4
AfroDb.1004,COc1cc(C)cc2c(-c3c(O)cc(O)c4c3C[C@H](C)C[C@H]4C)cc(-c3cc(-c4c(O)cc(O)c5c4C[C@H](C)N[C@@H]5C)c4cc(C)cc(OC)c4c3O)c(O)c12,,AfroDb,755.35,10.14,7,9,151.87,5
AfroDb.1006,CC(C)=CC[C@H]1C[C@]2(CC=C(C)C)C(=O)[C@@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C2O)[C@]1(C)CC=C(C)C,,AfroDb,588.35,8.67,3,6,111.9,10
AfroDb.1007,COc1c(O)cc2oc3cc4oc(C(C)(C)O)cc4cc3c(=O)c2c1CC=C(C)C,,AfroDb,408.16,5.14,2,6,93.04,4
AfroDb.1008,CC(C)=CCc1c(O)ccc([C@]23Oc4cc(O)ccc4[C@H]4CC(C)=C[C@@H](c5c(O)cc(-c6cc7ccc(O)cc7o6)cc5O2)[C@@H]43)c1O,,AfroDb,630.23,8.61,5,8,132.75,4
